Rank,Rating,Title,Review,Genre,URL
57.,98%,The Fight (2020),65,['documentary'],https://www.rottentomatoes.com/m/the_fight_2020
58.,98%,Farewell Amor (2020),62,['drama'],https://www.rottentomatoes.com/m/farewell_amor
59.,94%,Babyteeth (2020),141,"['comedy,', 'drama']",https://www.rottentomatoes.com/m/babyteeth
60.,94%,Boys State (2020),139,['documentary'],https://www.rottentomatoes.com/m/boys_state
61.,98%,Beats (2020),58,"['drama,', 'comedy']",https://www.rottentomatoes.com/m/beats_2020
62.,98%,Vitalina Varela (2020),56,['drama'],https://www.rottentomatoes.com/m/vitalina_varela
63.,98%,Circus of Books (2020),56,"['documentary,', 'biography,', 'gayandlesbian']",https://www.rottentomatoes.com/m/circus_of_books
64.,97%,La Llorona (2020),76,['drama'],https://www.rottentomatoes.com/m/la_llorona_2019
65.,98%,Anything for Jackson (2020),55,['horror'],https://www.rottentomatoes.com/m/anything_for_jackson
66.,98%,Spontaneous (2020),54,"['horror,', 'comedy']",https://www.rottentomatoes.com/m/spontaneous
67.,98%,Rocks (2020),53,['drama'],https://www.rottentomatoes.com/m/rocks
68.,98%,Disclosure (2020),51,['documentary'],https://www.rottentomatoes.com/m/disclosure_2020_2
69.,98%,The Swerve (2020),51,['drama'],https://www.rottentomatoes.com/m/the_swerve
70.,97%,"Why Don't You Just Die! (Papa, sdokhni) (2020)",70,,https://www.rottentomatoes.com/m/why_dont_you_just_die
71.,98%,The Go-Go's (2020),44,"['documentary,', 'music']",https://www.rottentomatoes.com/m/the_go_gos
72.,98%,Fourteen (2020),44,['drama'],https://www.rottentomatoes.com/m/fourteen_2019
73.,98%,The Last Tree (2020),43,['drama'],https://www.rottentomatoes.com/m/the_last_tree
74.,97%,The Dissident (2020),61,['documentary'],https://www.rottentomatoes.com/m/the_dissident
75.,98%,Night of the Kings (La Nuit des Rois) (2020),40,['drama'],https://www.rottentomatoes.com/m/night_of_the_kings
76.,98%,Fireball: Visitors from Darker Worlds (2020),41,['documentary'],https://www.rottentomatoes.com/m/fireball_visitors_from_darker_worlds
77.,93%,Another Round (Druk) (2020),140,"['comedy,', 'drama']",https://www.rottentomatoes.com/m/another_round
78.,96%,Feels Good Man (2020),75,['documentary'],https://www.rottentomatoes.com/m/feels_good_man
79.,94%,"Yes, God, Yes (2020)",115,['comedy'],https://www.rottentomatoes.com/m/yes_god_yes
80.,92%,Bacurau (Nighthawk) (2020),155,"['mysteryandthriller,', 'drama,', 'fantasy']",https://www.rottentomatoes.com/m/bacurau
81.,96%,A Shaun the Sheep Movie: Farmageddon (2020),74,"['kidsandfamily,', 'animation,', 'comedy,', 'adventure']",https://www.rottentomatoes.com/m/a_shaun_the_sheep_movie_farmageddon
82.,96%,John Lewis: Good Trouble (2020),68,['documentary'],https://www.rottentomatoes.com/m/john_lewis_good_trouble
83.,90%,Enola Holmes (2020),189,['mysteryandthriller'],https://www.rottentomatoes.com/m/enola_holmes
84.,96%,"A White, White Day (Hvítur, hvítur dagur) (2020)",67,['drama'],https://www.rottentomatoes.com/m/a_white_white_day
85.,85%,Borat: Subsequent Moviefilm (2020),286,['comedy'],https://www.rottentomatoes.com/m/borat_subsequent_moviefilm
86.,87%,Emma. (2020),242,"['drama,', 'comedy,', 'romance']",https://www.rottentomatoes.com/m/emma_2020
87.,96%,Shithouse (2020),57,['comedy'],https://www.rottentomatoes.com/m/shithouse
88.,87%,Shirley (2020),238,"['drama,', 'mysteryandthriller']",https://www.rottentomatoes.com/m/shirley_2020
89.,96%,Blood on Her Name (2020),54,"['drama,', 'crime,', 'mysteryandthriller']",https://www.rottentomatoes.com/m/blood_on_her_name
90.,96%,Zappa (2020),52,"['documentary,', 'music']",https://www.rottentomatoes.com/m/zappa_2020
91.,78%,Birds of Prey (And the Fantabulous Emancipation of One Harley Quinn) (2020),416,"['action,', 'comedy']",https://www.rottentomatoes.com/m/birds_of_prey_2020
92.,86%,On The Rocks (2020),253,['comedy'],https://www.rottentomatoes.com/m/on_the_rocks_2020
93.,96%,The Bee Gees: How Can You Mend a Broken Heart (2020),49,"['music,', 'documentary']",https://www.rottentomatoes.com/m/the_bee_gees_how_can_you_mend_a_broken_heart
94.,96%,Class Action Park (2020),49,['documentary'],https://www.rottentomatoes.com/m/class_action_park
95.,84%,Just Mercy (2020),291,['drama'],https://www.rottentomatoes.com/m/just_mercy
96.,96%,Dating Amber (2020),46,"['drama,', 'gayandlesbian,', 'comedy']",https://www.rottentomatoes.com/m/dating_amber
97.,96%,Red Penguins (2020),45,['documentary'],https://www.rottentomatoes.com/m/red_penguins
98.,89%,Kajillionaire (2020),185,"['drama,', 'comedy']",https://www.rottentomatoes.com/m/kajillionaire
99.,93%,Ordinary Love (2020),101,"['drama,', 'romance']",https://www.rottentomatoes.com/m/ordinary_love
100.,88%,News of the World (2020),203,"['drama,', 'adventure,', 'western']",https://www.rottentomatoes.com/m/news_of_the_world
